N,P,K,temperature,humidity,ph,rainfall,label,Crop,Cluster,PCA1,PCA2
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,20,4,-0.19580294025710554,-0.25441838822454393
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,20,0,-0.1290908203128243,-0.2314892342940913
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,20,0,-0.08551725084189925,-0.17567164943965344
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,20,0,-0.2197703886962585,-0.19594269193328456
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,20,0,-0.19051834559170944,-0.2224368447008412
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,20,0,-0.18728812286871824,-0.20642005929707088
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,20,0,-0.10798644521159258,-0.20763579333611287
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,20,0,-0.16695922549354608,-0.2896708843882656
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,20,0,-0.1733147513719854,-0.2765875092660001
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,20,0,-0.08823479354059655,-0.19054761410163182
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,20,0,-0.17404067753552893,-0.28637061661416074
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,20,0,-0.2099901237006951,-0.2700320102413173
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,20,0,-0.1045271824680977,-0.24993778585500323
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,20,4,-0.1724696243327147,-0.2576573501910897
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,20,4,-0.20730257788902381,-0.26054421254891735
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,20,0,-0.11884762437654482,-0.13917410914685455
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,20,0,-0.22341558020404825,-0.2664740565529528
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,20,4,-0.25499610944300594,-0.24101181075785363
